algorithm	computation	{'64e424824928c6ab3b57ad3bbd69dca534f9a6de': 2}
numerical analysis	mathematical optimization	{'4aa8477b6f96768e38f7f1aae02cef38813d781d': 2, 'fc5619ebcb3b6514354cac6e74d52a195e6e3be4': 2}
numerical analysis	social inequality	{'4aa8477b6f96768e38f7f1aae02cef38813d781d': 2, 'fc5619ebcb3b6514354cac6e74d52a195e6e3be4': 2}
mathematical optimization	social inequality	{'4aa8477b6f96768e38f7f1aae02cef38813d781d': 2, 'fc5619ebcb3b6514354cac6e74d52a195e6e3be4': 2}
paper presents	advanced cross	{'229216a8eee366582168e09073543c7d73b5db8f': 2, '9f1a1be7713174da6ad1c2ad48b72462c6b50177': 2}
paper presents	lingual information access	{'229216a8eee366582168e09073543c7d73b5db8f': 2, '9f1a1be7713174da6ad1c2ad48b72462c6b50177': 2}
paper presents	task cluster	{'229216a8eee366582168e09073543c7d73b5db8f': 2, '9f1a1be7713174da6ad1c2ad48b72462c6b50177': 2}
advanced cross	lingual information access	{'229216a8eee366582168e09073543c7d73b5db8f': 2, '9f1a1be7713174da6ad1c2ad48b72462c6b50177': 2}
advanced cross	task cluster	{'229216a8eee366582168e09073543c7d73b5db8f': 2, '9f1a1be7713174da6ad1c2ad48b72462c6b50177': 2}
lingual information access	task cluster	{'229216a8eee366582168e09073543c7d73b5db8f': 2, '9f1a1be7713174da6ad1c2ad48b72462c6b50177': 2}
artificial neural network	numerical analysis	{'4aa8477b6f96768e38f7f1aae02cef38813d781d': 2, 'fc5619ebcb3b6514354cac6e74d52a195e6e3be4': 2}
artificial neural network	linear matrix inequality	{'4aa8477b6f96768e38f7f1aae02cef38813d781d': 2, 'fc5619ebcb3b6514354cac6e74d52a195e6e3be4': 2}
artificial neural network	lyapunov fractal	{'4aa8477b6f96768e38f7f1aae02cef38813d781d': 2, 'fc5619ebcb3b6514354cac6e74d52a195e6e3be4': 2}
artificial neural network	mathematical optimization	{'4aa8477b6f96768e38f7f1aae02cef38813d781d': 2, 'fc5619ebcb3b6514354cac6e74d52a195e6e3be4': 2}
artificial neural network	social inequality	{'4aa8477b6f96768e38f7f1aae02cef38813d781d': 2, 'fc5619ebcb3b6514354cac6e74d52a195e6e3be4': 2}
artificial neural network	lyapunov method	{'4aa8477b6f96768e38f7f1aae02cef38813d781d': 2, 'fc5619ebcb3b6514354cac6e74d52a195e6e3be4': 2}
global asymptotic stability	linear matrix inequality	{'3203e6c5b896f0003029bf7d94a1f683150fa4fb': 2, 'f2e71ea4db322850257baf17d3166f81616b96ab': 2}
numerical analysis	linear matrix inequality	{'4aa8477b6f96768e38f7f1aae02cef38813d781d': 2, 'fc5619ebcb3b6514354cac6e74d52a195e6e3be4': 2}
numerical analysis	lyapunov fractal	{'4aa8477b6f96768e38f7f1aae02cef38813d781d': 2, 'fc5619ebcb3b6514354cac6e74d52a195e6e3be4': 2}
numerical analysis	lyapunov method	{'4aa8477b6f96768e38f7f1aae02cef38813d781d': 2, 'fc5619ebcb3b6514354cac6e74d52a195e6e3be4': 2}
linear matrix inequality	lyapunov fractal	{'4aa8477b6f96768e38f7f1aae02cef38813d781d': 2, 'fc5619ebcb3b6514354cac6e74d52a195e6e3be4': 2}
linear matrix inequality	neural networks	{'8a007601dbdf779d9423c0575292116f50ef4667': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
linear matrix inequality	mathematical optimization	{'4aa8477b6f96768e38f7f1aae02cef38813d781d': 2, 'fc5619ebcb3b6514354cac6e74d52a195e6e3be4': 2}
linear matrix inequality	social inequality	{'4aa8477b6f96768e38f7f1aae02cef38813d781d': 2, 'fc5619ebcb3b6514354cac6e74d52a195e6e3be4': 2, '8a007601dbdf779d9423c0575292116f50ef4667': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
linear matrix inequality	lyapunov method	{'4aa8477b6f96768e38f7f1aae02cef38813d781d': 2, 'fc5619ebcb3b6514354cac6e74d52a195e6e3be4': 2}
lyapunov fractal	neural networks	{'d20de39f000a8ef1107281956c3936836baf9779': 2}
lyapunov fractal	mathematical optimization	{'4aa8477b6f96768e38f7f1aae02cef38813d781d': 2, 'fc5619ebcb3b6514354cac6e74d52a195e6e3be4': 2}
lyapunov fractal	social inequality	{'4aa8477b6f96768e38f7f1aae02cef38813d781d': 2, 'fc5619ebcb3b6514354cac6e74d52a195e6e3be4': 2, 'd20de39f000a8ef1107281956c3936836baf9779': 2}
lyapunov fractal	lyapunov method	{'4aa8477b6f96768e38f7f1aae02cef38813d781d': 2, 'fc5619ebcb3b6514354cac6e74d52a195e6e3be4': 2}
neural networks	social inequality	{'8a007601dbdf779d9423c0575292116f50ef4667': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2, 'd20de39f000a8ef1107281956c3936836baf9779': 2}
mathematical optimization	lyapunov method	{'4aa8477b6f96768e38f7f1aae02cef38813d781d': 2, 'fc5619ebcb3b6514354cac6e74d52a195e6e3be4': 2}
social inequality	lyapunov method	{'4aa8477b6f96768e38f7f1aae02cef38813d781d': 2, 'fc5619ebcb3b6514354cac6e74d52a195e6e3be4': 2}
simulation	cognitive radio	{'a830cbc5707559f0f1585aa1508274bc8bde2097': 2}
89.75.kd	multistability	{'2133e260d5eb6d4ad07413759fa59ab96f285240': 2, '622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
89.75.kd	07.05.mh	{'2133e260d5eb6d4ad07413759fa59ab96f285240': 2, '622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
multistability	07.05.mh	{'2133e260d5eb6d4ad07413759fa59ab96f285240': 2, '622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
throughput	interference (communication)	{'7b08e02fe5b12064ec113397c5ea7ef386567837': 2}
throughput	algorithm	{'7b08e02fe5b12064ec113397c5ea7ef386567837': 2}
cognitive radio	interference (communication)	{'977c6f4c49072445f7cd7caa6d542a3b56b3a945': 2, 'e390082b00c8d36b7db9bb687564d84ae3b5a55c': 2}
