artificial neural network	recurrent neural network	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2, '05f9c77bc95f525aae309a756ef9ba51c77e9dab': 2, '013b3adce4b0209c490e0b4c138029624cb88d8d': 2, '92403370513c6a2c29f4891767a7c29f5451da85': 2}
artificial neural network	long short-term memory	{'05f9c77bc95f525aae309a756ef9ba51c77e9dab': 2}
recurrent neural network	long short-term memory	{'05f9c77bc95f525aae309a756ef9ba51c77e9dab': 2}
computation	mathematical optimization	{'5039b686e60d4ec4536ebacf4ca326832b83ad50': 2, 'cd0cd2d95f5e02e8efe3f6fd3aa8243ac2a416b3': 2}
related questions	step high	{'cba0d9cc83cba11374cf0c0cba7b7140883af014': 2, 'e7edb2662baad7149a21794e8ad1f4bec80d0dab': 2, 'ece9d6b22034bfcc4e2f48643294af5566f18daf': 2, '9235e555c021588f47ff8d2b2c0e4d94d9bbfecf': 2}
related questions	level process	{'cba0d9cc83cba11374cf0c0cba7b7140883af014': 2, 'e7edb2662baad7149a21794e8ad1f4bec80d0dab': 2, 'ece9d6b22034bfcc4e2f48643294af5566f18daf': 2, '9235e555c021588f47ff8d2b2c0e4d94d9bbfecf': 2}
step high	level process	{'cba0d9cc83cba11374cf0c0cba7b7140883af014': 2, 'e7edb2662baad7149a21794e8ad1f4bec80d0dab': 2, 'ece9d6b22034bfcc4e2f48643294af5566f18daf': 2, '9235e555c021588f47ff8d2b2c0e4d94d9bbfecf': 2}
throughput	artificial neural network	{'84a88c406c24ea091c07b62208aee9fd51f41524': 2, 'f3e20a08c07472f0ed32584dcd124992aed8fbc3': 2}
throughput	algorithm	{'6cb84a04a4acf53cf04ee6093f8f1dda2b0e4dd4': 2}
throughput	computation	{'84a88c406c24ea091c07b62208aee9fd51f41524': 2, 'f3e20a08c07472f0ed32584dcd124992aed8fbc3': 2}
artificial neural network	algorithm	{'ba2c616097a893c3b3b1a4e72e197a90f550bb40': 2, '622cd0cd6537cf0b6019460bf5af870a939f4230': 2, 'be017abdce820201a8432b49701e81144ecedc6a': 2}
artificial neural network	computation	{'84a88c406c24ea091c07b62208aee9fd51f41524': 2, 'f3e20a08c07472f0ed32584dcd124992aed8fbc3': 2}
artificial neural network	computer vision	{'033f96352cfc7157bbd36f2975acb1928a0cfa9d': 2}
algorithm	computation	{'082c2588b7e1f6fa8ea2c9c0fb090d773bf3e665': 2}
data synchronization	artificial neural network	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
data synchronization	jensen's inequality	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
data synchronization	sawtooth (cellular automaton)	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
data synchronization	sampling - surgical action	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
data synchronization	input lag	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
data synchronization	lyapunov fractal	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
data synchronization	sampling (signal processing)	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
data synchronization	neural network simulation	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
data synchronization	social inequality	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
artificial neural network	jensen's inequality	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
artificial neural network	sawtooth (cellular automaton)	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
artificial neural network	sampling - surgical action	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
artificial neural network	input lag	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
artificial neural network	linear matrix inequality	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
artificial neural network	lyapunov fractal	{'8a007601dbdf779d9423c0575292116f50ef4667': 2, '622cd0cd6537cf0b6019460bf5af870a939f4230': 4, '013b3adce4b0209c490e0b4c138029624cb88d8d': 2, '43f72326ddca199656ff9162450a6b22d98a076f': 2, '80f2e7fd5dd9361b15f57d3b6499352ec001fd2d': 2}
artificial neural network	sampling (signal processing)	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
artificial neural network	neural network simulation	{'8a007601dbdf779d9423c0575292116f50ef4667': 2, 'ba2c616097a893c3b3b1a4e72e197a90f550bb40': 2, '622cd0cd6537cf0b6019460bf5af870a939f4230': 4, '76eddfeade1369f7f9e147ad8ae2fb6fc83e274d': 5, 'ecf7ddbfa0c7603a46b9dccb1c0adcf60d2dcc2b': 2, 'f0e20dc3d844f7415035658c711a51134798120b': 2, '6815d26cf8d06fe99e2a14a60171dd60245715b8': 2, '013b3adce4b0209c490e0b4c138029624cb88d8d': 2, '43f72326ddca199656ff9162450a6b22d98a076f': 2}
artificial neural network	social inequality	{'8a007601dbdf779d9423c0575292116f50ef4667': 2, '76eddfeade1369f7f9e147ad8ae2fb6fc83e274d': 3, '622cd0cd6537cf0b6019460bf5af870a939f4230': 5, '013b3adce4b0209c490e0b4c138029624cb88d8d': 2}
jensen's inequality	sawtooth (cellular automaton)	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
jensen's inequality	sampling - surgical action	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
jensen's inequality	input lag	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
jensen's inequality	linear matrix inequality	{'ceb8a29e77434e5348d9d50f25b3eafb21b2bd95': 2}
jensen's inequality	lyapunov fractal	{'8a007601dbdf779d9423c0575292116f50ef4667': 2, 'ceb8a29e77434e5348d9d50f25b3eafb21b2bd95': 2}
jensen's inequality	sampling (signal processing)	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
jensen's inequality	neural network simulation	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
jensen's inequality	social inequality	{'8a007601dbdf779d9423c0575292116f50ef4667': 2, 'ceb8a29e77434e5348d9d50f25b3eafb21b2bd95': 2}
sawtooth (cellular automaton)	sampling - surgical action	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
sawtooth (cellular automaton)	input lag	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
sawtooth (cellular automaton)	lyapunov fractal	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
sawtooth (cellular automaton)	sampling (signal processing)	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
sawtooth (cellular automaton)	neural network simulation	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
sawtooth (cellular automaton)	social inequality	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
sampling - surgical action	input lag	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
sampling - surgical action	lyapunov fractal	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
sampling - surgical action	sampling (signal processing)	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
sampling - surgical action	neural network simulation	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
sampling - surgical action	social inequality	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
input lag	lyapunov fractal	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
input lag	sampling (signal processing)	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
input lag	neural network simulation	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
input lag	social inequality	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
linear matrix inequality	lyapunov fractal	{'ceb8a29e77434e5348d9d50f25b3eafb21b2bd95': 2}
linear matrix inequality	social inequality	{'ceb8a29e77434e5348d9d50f25b3eafb21b2bd95': 2}
lyapunov fractal	sampling (signal processing)	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
lyapunov fractal	neural network simulation	{'8a007601dbdf779d9423c0575292116f50ef4667': 2, '622cd0cd6537cf0b6019460bf5af870a939f4230': 2, '013b3adce4b0209c490e0b4c138029624cb88d8d': 2, '43f72326ddca199656ff9162450a6b22d98a076f': 2}
lyapunov fractal	social inequality	{'8a007601dbdf779d9423c0575292116f50ef4667': 2, 'ceb8a29e77434e5348d9d50f25b3eafb21b2bd95': 2, '622cd0cd6537cf0b6019460bf5af870a939f4230': 2, '013b3adce4b0209c490e0b4c138029624cb88d8d': 2}
sampling (signal processing)	neural network simulation	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
sampling (signal processing)	social inequality	{'8a007601dbdf779d9423c0575292116f50ef4667': 2}
neural network simulation	social inequality	{'8a007601dbdf779d9423c0575292116f50ef4667': 2, '76eddfeade1369f7f9e147ad8ae2fb6fc83e274d': 3, '622cd0cd6537cf0b6019460bf5af870a939f4230': 2, '013b3adce4b0209c490e0b4c138029624cb88d8d': 2}
